迭代次数：1000
迭代精度：0.0001
wkt_geom	tail	head	flow	time
MultiLineString ((320000 50000, 320000 190000))	20	19	8688.492131311981	0.15759871476301
MultiLineString ((320000 50000, 220000 50000))	20	21	6241.6578859697765	0.134762740976668
MultiLineString ((320000 50000, 220000 130000))	20	22	7002.7858920020335	0.128624203443151
MultiLineString ((220000 50000, 320000 50000))	21	20	6305.255271269893	0.136185961035161
MultiLineString ((220000 50000, 220000 130000))	21	22	8605.865345571832	0.069920007554584
MultiLineString ((220000 50000, 130000 50000))	21	24	10250.871175474662	0.195756029234021
MultiLineString ((220000 130000, 220000 190000))	22	15	18405.624637197005	0.151258367242127
MultiLineString ((220000 130000, 320000 50000))	22	20	7003.556764204501	0.128644179343404
MultiLineString ((220000 130000, 220000 50000))	22	21	8613.695595081399	0.070212936147525
MultiLineString ((220000 130000, 130000 130000))	22	23	9630.302189514343	0.203885094094596
MultiLineString ((130000 130000, 130000 190000))	23	14	8394.204583149954	0.151246693549657
MultiLineString ((130000 130000, 220000 130000))	23	22	9659.14601062612	0.206077505467288
MultiLineString ((130000 130000, 130000 50000))	23	24	7864.759045247131	0.062003192425992
MultiLineString ((130000 50000, 50000 50000))	24	13	11119.402028467335	0.29422862639688
MultiLineString ((130000 50000, 220000 50000))	24	21	10306.638311265204	0.198375339957783
MultiLineString ((130000 50000, 130000 130000))	24	23	7900.671657580927	0.062669834879644
