迭代精度：0.001
迭代次数：1000
wkt_geom	tail	head	flow	time
MultiLineString ((551448 1697967, 583749 1698966))	862	863	167.09	0.235277777777778
MultiLineString ((583749 1698966, 551448 1697967))	863	862	189.92999999999972	0.235277777777778
MultiLineString ((751914 1782882, 731268 1765566))	905	854	399.31	0.23138888888889
MultiLineString ((731268 1765566, 751914 1782882))	854	905	216.57999999999998	0.231388888888889
MultiLineString ((711288 1733598, 717282 1699965))	860	888	225.16	0.231388888888889
MultiLineString ((717282 1699965, 711288 1733598))	888	860	46.21000000000001	0.231388888888889
MultiLineString ((640026 1668996, 616050 1698300))	892	885	324.71999999999986	0.230555555555562
MultiLineString ((616050 1698300, 640026 1668996))	885	892	218.27	0.230555555555557
MultiLineString ((614385 1763901, 615051 1732266))	847	857	98.53000000000004	0.230277777777778
MultiLineString ((615051 1732266, 614385 1763901))	857	847	57.02999999999997	0.230277777777778
MultiLineString ((484182 1825173, 485181 1791207))	868	871	238.39	0.230277777777778
MultiLineString ((485181 1791207, 484182 1825173))	871	868	145.94000000000003	0.230277777777778
MultiLineString ((584415 1664334, 584082 1626705))	890	896	14.620000000000001	0.229444444444444
MultiLineString ((584082 1626705, 584415 1664334))	896	890	10.14	0.229444444444444
MultiLineString ((558108 2145519, 566433 2176155))	738	920	260.7699999999999	0.228888888888889
MultiLineString ((488511 2144187, 469197 2176488))	782	917	499.1299999999997	0.228888888888889
MultiLineString ((469197 2176488, 488511 2144187))	917	782	132.73000000000005	0.228888888888889
MultiLineString ((566433 2176155, 558108 2145519))	920	738	93.91	0.228888888888889
MultiLineString ((515151 1857141, 516816 1824174))	866	869	706.0999999999982	0.228611111111111
MultiLineString ((516816 1824174, 515151 1857141))	869	866	447.7200000000001	0.228611111111111
MultiLineString ((635697 1967364, 621378 1931400))	438	535	7143.84273437522	0.226944444444493
MultiLineString ((621378 1931400, 635697 1967364))	535	438	5280.786953125149	0.22694444444446
MultiLineString ((517149 1761237, 518481 1729935))	875	878	512.4299999999997	0.226944444444447
MultiLineString ((518481 1729935, 517149 1761237))	878	875	230.41000000000005	0.226944444444445
MultiLineString ((679986 1733598, 711288 1733598))	859	860	60.51	0.226944444444444
MultiLineString ((711288 1733598, 679986 1733598))	860	859	67.05695312499999	0.226944444444444
MultiLineString ((808191 1810521, 794205 1782549))	904	906	1141.22	0.226111111111111
MultiLineString ((794205 1782549, 808191 1810521))	906	904	1208.58	0.226111111111111
MultiLineString ((469197 2176488, 502497 2176155))	917	918	94.57999999999997	0.226111111111111
MultiLineString ((502497 2176155, 469197 2176488))	918	917	123.36	0.226111111111111
MultiLineString ((455877 1726938, 455544 1693305))	876	879	80.64999999999999	0.225555555555556
MultiLineString ((455544 1693305, 455877 1726938))	879	876	19.249999999999993	0.225555555555556
MultiLineString ((667998 1852146, 692973 1865133))	507	578	470.52999999999986	0.224722222222223
MultiLineString ((692973 1865133, 667998 1852146))	578	507	416.23999999999995	0.224722222222222
MultiLineString ((553779 2017314, 570429 1994004))	584	605	232.51000000000002	0.224166666666667
MultiLineString ((570429 1994004, 553779 2017314))	605	584	389.60000000000014	0.224166666666667
MultiLineString ((732267 1844487, 748251 1831500))	541	902	2088.59	0.222777777777794
MultiLineString ((748251 1831500, 732267 1844487))	902	541	1057.4299999999994	0.222777777777779
MultiLineString ((542457 2082249, 542457 2113884))	800	792	160.45	0.221944444444445
MultiLineString ((542457 2113884, 542457 2082249))	792	800	32.3	0.221944444444444
MultiLineString ((550782 1730268, 518481 1729935))	855	878	161.46999999999994	0.221944444444444
MultiLineString ((518481 1729935, 550782 1730268))	878	855	190.05999999999995	0.221944444444444
MultiLineString ((516816 1824174, 517482 1792206))	869	872	408.36999999999966	0.221111111111111
MultiLineString ((517482 1792206, 516816 1824174))	872	869	248.35999999999987	0.221111111111111
MultiLineString ((730602 1821177, 748251 1831500))	661	902	0	0.220833333333333
MultiLineString ((748251 1831500, 730602 1821177))	902	661	0	0.220833333333333
MultiLineString ((451881 1889775, 451881 1855809))	732	864	200.38999999999993	0.220555555555556
MultiLineString ((451881 1855809, 451881 1889775))	864	732	200.1700000000001	0.220555555555556
MultiLineString ((518481 1729935, 519480 1695969))	878	881	332.63	0.220555555555556
MultiLineString ((519480 1695969, 518481 1729935))	881	878	198.4	0.220555555555556
MultiLineString ((424575 2145186, 437562 2176488))	780	916	435.96000000000004	0.220277777777797
MultiLineString ((437562 2176488, 424575 2145186))	916	780	123.13999999999999	0.220277777777778
MultiLineString ((697302 1909755, 683982 1894437))	569	572	2050.97	0.219444444444448
MultiLineString ((683982 1894437, 697302 1909755))	572	569	1146.9299999999998	0.219444444444445
MultiLineString ((681318 1698300, 717282 1699965))	887	888	101.63023437499999	0.219166666666667
MultiLineString ((717282 1699965, 681318 1698300))	888	887	68.12871093749997	0.219166666666667
MultiLineString ((683649 1621377, 718614 1629702))	900	901	141.14000000000001	0.219166666666667
MultiLineString ((718614 1629702, 683649 1621377))	901	900	53.7	0.219166666666667
MultiLineString ((502497 2176155, 535131 2176155))	918	919	118.39999999999999	0.219166666666667
MultiLineString ((535131 2176155, 502497 2176155))	919	918	241.93	0.219166666666667
MultiLineString ((485181 1791207, 485514 1758906))	871	874	268.79	0.218611111111111
MultiLineString ((485514 1758906, 485181 1791207))	874	871	239.46000000000004	0.218611111111111
MultiLineString ((455544 1693305, 455544 1661004))	879	882	29.82	0.218611111111111
MultiLineString ((455544 1661004, 455544 1693305))	882	879	10.029999999999998	0.218611111111111
MultiLineString ((667998 1852146, 688644 1819512))	507	508	4318.620000000087	0.218333333333352
MultiLineString ((688644 1819512, 667998 1852146))	508	507	2870.3100000000454	0.218333333333337
MultiLineString ((549783 1762236, 581418 1763568))	845	846	79.96394531250002	0.218333333333333
MultiLineString ((581418 1763568, 549783 1762236))	846	845	60.889999999999965	0.218333333333333
MultiLineString ((520146 1662669, 552447 1663668))	884	889	22.17	0.218333333333333
MultiLineString ((552447 1663668, 520146 1662669))	889	884	21.67	0.218333333333333
MultiLineString ((437562 2176488, 405594 2176488))	916	915	197.19000000000003	0.217777777777779
MultiLineString ((405594 2176488, 437562 2176488))	915	916	112.85	0.217777777777778
MultiLineString ((681984 1666665, 717948 1668330))	893	894	141.06976562500003	0.217222222222222
MultiLineString ((717948 1668330, 681984 1666665))	894	893	144.60128906249992	0.217222222222222
MultiLineString ((487512 1693638, 519480 1695969))	880	881	26.200000000000014	0.216666666666667
MultiLineString ((519480 1695969, 487512 1693638))	881	880	44.06999999999999	0.216666666666667
MultiLineString ((487512 1724940, 487512 1693638))	877	880	221.37999999999997	0.216388888888889
MultiLineString ((487512 1693638, 487512 1724940))	880	877	72.21999999999998	0.216388888888889
MultiLineString ((451548 1741257, 409590 1736928))	462	927	1903	0.216111111111114
MultiLineString ((409590 1736928, 451548 1741257))	927	462	1569	0.216111111111112
MultiLineString ((453213 1790874, 485181 1791207))	870	871	82.77000000000002	0.216111111111111
MultiLineString ((485181 1791207, 453213 1790874))	871	870	135.12000000000003	0.216111111111111
MultiLineString ((455544 1693305, 487512 1693638))	879	880	18.260000000000005	0.216111111111111
MultiLineString ((487512 1693638, 455544 1693305))	880	879	26.1	0.216111111111111
MultiLineString ((689643 1961703, 674658 1971360))	550	552	374.40999999999997	0.215833333333333
MultiLineString ((674658 1971360, 689643 1961703))	552	550	481.24	0.215833333333333
MultiLineString ((667332 1897101, 650349 1901763))	571	632	0	0.215555555555556
MultiLineString ((650349 1901763, 667332 1897101))	632	571	0	0.215555555555556
MultiLineString ((749583 1751913, 780219 1752912))	907	908	794.2799999999995	0.215555555555556
MultiLineString ((780219 1752912, 749583 1751913))	908	907	738.8100000000001	0.215555555555556
MultiLineString ((542457 2113884, 542457 2145519))	792	784	495.99999999999983	0.214722222222224
MultiLineString ((542457 2145519, 542457 2113884))	784	792	163.00999999999996	0.214722222222222
MultiLineString ((538461 1778553, 549783 1762236))	459	845	9.32	0.214444444444444
MultiLineString ((549783 1762236, 538461 1778553))	845	459	10.06	0.214444444444444
MultiLineString ((455877 1726938, 487512 1724940))	876	877	437.6099999999999	0.214166666666667
MultiLineString ((487512 1724940, 455877 1726938))	877	876	129.91999999999996	0.214166666666667
MultiLineString ((453879 1758906, 485514 1758906))	873	874	15.459999999999999	0.213888888888889
MultiLineString ((485514 1758906, 453879 1758906))	874	873	28.099999999999998	0.213888888888889
MultiLineString ((455544 1661004, 487179 1661670))	882	883	16.359999999999996	0.213888888888889
MultiLineString ((487179 1661670, 455544 1661004))	883	882	27.43	0.213888888888889
MultiLineString ((489177 2016981, 488844 2050281))	709	803	945.8699999999983	0.213611111111112
MultiLineString ((488844 2050281, 489177 2016981))	803	709	336.97999999999985	0.213611111111111
MultiLineString ((581418 1763568, 614385 1763901))	846	847	69.68000000000002	0.213055555555556
MultiLineString ((614385 1763901, 581418 1763568))	847	846	72.27000000000005	0.213055555555556
MultiLineString ((647352 1733265, 650016 1698300))	858	886	155.56999999999988	0.213055555555556
MultiLineString ((650016 1698300, 647352 1733265))	886	858	105.8	0.213055555555556
MultiLineString ((437562 2176488, 469197 2176488))	916	917	133.71	0.212222222222222
MultiLineString ((469197 2176488, 437562 2176488))	917	916	288.3399999999999	0.212222222222222
MultiLineString ((794205 1782549, 780219 1752912))	906	908	1565.32	0.211944444444446
MultiLineString ((780219 1752912, 794205 1782549))	908	906	800.5600000000001	0.211944444444445
MultiLineString ((487512 1724940, 518481 1729935))	877	878	463.3399999999998	0.211666666666668
MultiLineString ((617715 2145186, 646020 2137194))	743	745	186.10999999999996	0.211666666666667
MultiLineString ((646020 2137194, 617715 2145186))	745	743	211.51999999999998	0.211666666666667
MultiLineString ((614385 1763901, 647019 1764234))	847	848	96.45999999999998	0.211666666666667
MultiLineString ((647019 1764234, 614385 1763901))	848	847	158.8	0.211666666666667
MultiLineString ((582417 1731267, 615051 1732266))	856	857	66.31000000000003	0.211666666666667
MultiLineString ((615051 1732266, 582417 1731267))	857	856	90.42999999999999	0.211666666666667
MultiLineString ((518481 1729935, 487512 1724940))	878	877	275.31000000000006	0.211666666666667
MultiLineString ((576090 2151513, 566433 2176155))	740	920	551.03	0.210833333333334
MultiLineString ((566433 2176155, 576090 2151513))	920	740	178.89000000000004	0.210833333333333
MultiLineString ((581418 1763568, 582417 1731267))	846	856	151.96394531249993	0.208888888888889
MultiLineString ((582417 1731267, 581418 1763568))	856	846	65.69000000000003	0.208888888888889
MultiLineString ((584415 1664334, 616050 1651347))	890	891	43.089999999999996	0.208888888888889
MultiLineString ((616050 1651347, 584415 1664334))	891	890	129.83	0.208888888888889
MultiLineString ((717282 1699965, 751248 1703295))	888	910	73.33999999999999	0.208611111111111
MultiLineString ((549783 1624707, 584082 1626705))	895	896	42.429999999999986	0.208611111111111
MultiLineString ((584082 1626705, 549783 1624707))	896	895	98.97000000000003	0.208611111111111
MultiLineString ((751248 1703295, 717282 1699965))	910	888	72.28999999999999	0.208611111111111
MultiLineString ((551448 1697967, 552447 1663668))	862	889	178.0100000000001	0.208333333333334
MultiLineString ((552447 1663668, 551448 1697967))	889	862	94.79000000000008	0.208333333333333
MultiLineString ((558441 2049615, 558441 2081583))	768	757	1308.0699999999986	0.207777777777784
MultiLineString ((727272 1816182, 730935 1797867))	512	670	240.75	0.207777777777778
MultiLineString ((553779 2017314, 529470 2008989))	584	712	533	0.207777777777778
MultiLineString ((730935 1797867, 727272 1816182))	670	512	130.84	0.207777777777778
MultiLineString ((529470 2008989, 553779 2017314))	712	584	395.6799999999999	0.207777777777778
MultiLineString ((558441 2081583, 558441 2049615))	757	768	481.88999999999976	0.207777777777778
MultiLineString ((681984 1666665, 664002 1637694))	893	898	125.94999999999996	0.207777777777778
MultiLineString ((664002 1637694, 681984 1666665))	898	893	277.71999999999974	0.207777777777778
MultiLineString ((615051 1732266, 647352 1733265))	857	858	60.50999999999994	0.207222222222222
MultiLineString ((647352 1733265, 615051 1732266))	858	857	116.30000000000014	0.207222222222222
MultiLineString ((456876 2144853, 469197 2176488))	781	917	192.31000000000003	0.206666666666667
MultiLineString ((469197 2176488, 456876 2144853))	917	781	78.58000000000001	0.206666666666667
MultiLineString ((456543 2081916, 456876 2050281))	794	802	25.789999999999996	0.205833333333333
MultiLineString ((456876 2050281, 456543 2081916))	802	794	156.01000000000022	0.205833333333333
MultiLineString ((550782 1730268, 582417 1731267))	855	856	159.82605468750003	0.205833333333333
MultiLineString ((582417 1731267, 550782 1730268))	856	855	139.7900000000002	0.205833333333333
MultiLineString ((615051 1732266, 616050 1698300))	857	885	88.75000000000004	0.205277777777778
MultiLineString ((452547 1822842, 484182 1825173))	867	868	203.26999999999995	0.205277777777778
MultiLineString ((484182 1825173, 452547 1822842))	868	867	360.77999999999986	0.205277777777778
MultiLineString ((616050 1698300, 615051 1732266))	885	857	79.62	0.205277777777778
MultiLineString ((678987 1764900, 679986 1733598))	849	859	215.83304687499987	0.204444444444444
MultiLineString ((679986 1733598, 678987 1764900))	859	849	57.919999999999995	0.204444444444444
MultiLineString ((542457 2145519, 535131 2176155))	784	919	389.61999999999995	0.204166666666667
MultiLineString ((535131 2176155, 542457 2145519))	919	784	156.26	0.204166666666667
MultiLineString ((488844 2050281, 488844 2081583))	803	795	1101.2999999999975	0.203611111111112
MultiLineString ((488844 2081583, 488844 2050281))	795	803	560.8399999999997	0.203611111111111
MultiLineString ((703629 1867797, 716616 1839492))	523	522	2639.040000000024	0.203055555555558
MultiLineString ((716616 1839492, 703629 1867797))	522	523	989.179999999999	0.203055555555556
MultiLineString ((692973 1865133, 708957 1854477))	578	579	1657.2500000000005	0.202222222222236
MultiLineString ((708957 1854477, 692973 1865133))	579	578	1148.9199999999998	0.202222222222226
MultiLineString ((681984 1916082, 666333 1918080))	566	631	758.3799999999999	0.202222222222223
MultiLineString ((666333 1918080, 681984 1916082))	631	566	756.6400000000001	0.202222222222223
MultiLineString ((647019 1764234, 647352 1733265))	848	858	200.11999999999975	0.201388888888889
MultiLineString ((647352 1733265, 647019 1764234))	858	848	103.49000000000002	0.201388888888889
MultiLineString ((502164 1659006, 527472 1693305))	464	465	1747.3899999999992	0.20027777777778
MultiLineString ((527472 1693305, 502164 1659006))	465	464	1596.8	0.200277777777779
MultiLineString ((656343 1965366, 668997 1952379))	437	556	1790.3599999999983	0.199444444444446
MultiLineString ((668997 1952379, 656343 1965366))	556	437	1780.9368749999983	0.199444444444446
MultiLineString ((616050 1651347, 625707 1620045))	891	899	12.419999999999998	0.199444444444444
MultiLineString ((625707 1620045, 616050 1651347))	899	891	16.549999999999997	0.199444444444444
MultiLineString ((599067 2176488, 566433 2176155))	921	920	933.4099999999999	0.198333333333338
MultiLineString ((549783 1762236, 517149 1761237))	845	875	176.13000000000005	0.198333333333333
MultiLineString ((517149 1761237, 549783 1762236))	875	845	220.7199999999999	0.198333333333333
MultiLineString ((566433 2176155, 599067 2176488))	920	921	283.43	0.198333333333333
MultiLineString ((678987 1764900, 702630 1772559))	849	851	131.31000000000003	0.198055555555556
MultiLineString ((702630 1772559, 678987 1764900))	851	849	93.93	0.198055555555556
MultiLineString ((488511 2144187, 488511 2113884))	782	787	136.50999999999996	0.197777777777778
MultiLineString ((488511 2113884, 488511 2144187))	787	782	464.2399999999997	0.197777777777778
MultiLineString ((617715 2145186, 646353 2151846))	743	744	647.1799999999997	0.1975
MultiLineString ((646353 2151846, 617715 2145186))	744	743	316.29999999999995	0.1975
MultiLineString ((751914 1782882, 749583 1751913))	905	907	1099.6799999999998	0.197222222222222
MultiLineString ((749583 1751913, 751914 1782882))	907	905	457.59000000000003	0.197222222222222
MultiLineString ((558441 2081583, 559107 2113884))	757	746	2075.839999999996	0.196944444444447
MultiLineString ((456876 2050281, 424575 2050281))	802	801	444.40999999999985	0.196944444444445
MultiLineString ((559107 2113884, 558441 2081583))	746	757	521.01	0.196944444444444
MultiLineString ((424575 2145186, 456876 2144853))	780	781	417.34000000000003	0.196944444444444
MultiLineString ((456876 2144853, 424575 2145186))	781	780	444.67999999999995	0.196944444444444
MultiLineString ((424575 2050281, 456876 2050281))	801	802	231.5800000000001	0.196944444444444
MultiLineString ((519480 1695969, 520146 1662669))	881	884	259.05999999999995	0.196944444444444
MultiLineString ((520146 1662669, 519480 1695969))	884	881	102.53000000000002	0.196944444444444
MultiLineString ((452214 1954044, 451881 1921743))	720	726	95.07000000000004	0.196388888888889
MultiLineString ((451881 1921743, 452214 1954044))	726	720	137.3099999999998	0.196388888888889
MultiLineString ((582417 1731267, 583749 1698966))	856	863	139.98999999999992	0.196388888888889
MultiLineString ((583749 1698966, 582417 1731267))	863	856	79.1600000000001	0.196388888888889
MultiLineString ((657342 2008656, 648018 1995336))	595	612	479.36	0.196111111111111
MultiLineString ((648018 1995336, 657342 2008656))	612	595	374.59	0.196111111111111
MultiLineString ((616050 1698300, 583749 1698966))	885	863	280.60999999999933	0.195833333333336
MultiLineString ((583749 1698966, 616050 1698300))	863	885	189.46999999999997	0.195833333333334
MultiLineString ((482850 1954710, 483183 1922742))	721	727	294.72675781249995	0.195277777777778
MultiLineString ((483183 1922742, 482850 1954710))	727	721	528.6796874999983	0.195277777777778
MultiLineString ((424575 2113884, 456543 2113884))	785	786	349.1900000000001	0.195277777777778
MultiLineString ((456543 2113884, 424575 2113884))	786	785	246.86	0.195277777777778
MultiLineString ((488511 2113884, 488844 2081583))	787	795	223.0300000000001	0.195277777777778
MultiLineString ((424908 2082249, 424575 2050281))	793	801	237.47000000000003	0.195277777777778
MultiLineString ((456543 2081916, 488844 2081583))	794	795	559.6499999999997	0.195277777777778
MultiLineString ((488844 2081583, 456543 2081916))	795	794	875.9799999999994	0.195277777777778
MultiLineString ((488844 2081583, 488511 2113884))	795	787	945.2199999999984	0.195277777777778
MultiLineString ((424575 2050281, 424908 2082249))	801	793	366.9499999999999	0.195277777777778
MultiLineString ((751248 1703295, 776889 1704294))	910	911	235.7600000000001	0.195277777777778
